Date	P	E	Q	Tmax	Tmin
1961-01-07	0	0.702	1.0051	11.6556	-4.4
1961-01-08	0	0.708	1.0051	7.6611	-2
1961-01-09	0	0.714	0.9911	6.9167	-9.2278
1961-01-10	0	0.721	0.9045	9.5778	-10.4556
1961-01-11	0	0.728	0.9155	12.8167	-8.5278
1961-01-12	0	0.735	0.9045	15.2778	-7.1444
1961-01-13	0.48	0.744	0.8936	11.1556	-6.4667
1961-01-14	38.85	0.752	1.3334	8.8444	1.5556
1961-01-15	4.29	0.761	3.2739	10.3167	4.7
1961-01-16	1.1	0.77	2.4479	6.6778	1.0722
1961-01-17	0.1	0.78	1.9205	10.2056	-2.1167
1961-01-18	0.06	0.79	1.6419	12.1611	-2.4333
1961-01-19	5.65	0.801	1.5126	8.9556	-2.7111
1961-01-20	0.01	0.812	1.4727	1.3333	-8.8056
1961-01-21	0.72	0.823	1.3732	-3.5722	-11.3222
1961-01-22	0.07	0.835	1.2538	-1.0833	-16.0611
1961-01-23	0.01	0.848	1.1941	6.6667	-8.6556
1961-01-24	0	0.86	1.1941	9.9667	-5.8722
1961-01-25	0	0.873	1.0747	1.4444	-12.4556
1961-01-26	8.9	0.887	1.0449	-0.1056	-8.85
1961-01-27	0.01	0.901	1.0548	-1.6722	-8.8778
1961-01-28	0.01	0.915	1.0349	0.3444	-12.4389
1961-01-29	0	0.93	1.0349	4.8	-9.3444
1961-01-30	0	0.945	1.015	5.8278	-9.2278
1961-01-31	0	0.961	0.9911	11.2	-7.9667
1961-02-01	0	0.976	0.9692	11.1944	-5.5667
1961-02-02	0.11	0.993	0.9692	7.0556	-5.1778
1961-02-03	8.89	1.009	0.9692	0.9667	-6.6556
1961-02-04	0	1.026	0.9802	4.4111	-8.3667
1961-02-05	0	1.044	0.9473	7.0944	-10.6722
1961-02-06	0.17	1.061	0.9692	3.4889	-7.8722
1961-02-07	19.88	1.079	0.9911	1.9833	-2.8611
1961-02-08	0.79	1.098	1.6618	6.3944	-1.4278
1961-02-09	0.13	1.116	1.8409	4.1	-2.2444
1961-02-10	0.14	1.135	1.5026	8.4278	-5.1111
1961-02-11	0	1.155	1.3533	11.7778	-4.2333
1961-02-12	0	1.174	1.2538	19.5944	-1.3167
1961-02-13	0	1.194	1.2339	16.7944	-0.4556
1961-02-14	0	1.215	1.2737	18.7944	1.8611
1961-02-15	0	1.235	1.2737	17.4944	3.6167
1961-02-16	0	1.256	1.2538	20.0556	1.9444
1961-02-17	0.49	1.277	1.2339	15.7	1.9667
1961-02-18	18.74	1.299	1.2737	14.1778	6.9
1961-02-19	8.34	1.321	1.8708	13.7778	7.7611
1961-02-20	18.56	1.343	2.1693	12.2611	6.0222
1961-02-21	16.37	1.365	3.7416	9.6889	3.6667
1961-02-22	8.76	1.387	4.0103	12.6222	5.0167
1961-02-23	24.83	1.41	5.6124	18.9278	7.8944
1961-02-24	17.42	1.433	5.7517	18.5389	1.3333
1961-02-25	49.88	1.457	9.8614	15.4389	0
1961-02-26	0	1.48	10.349	14.7222	-3.0167
1961-02-27	0	1.504	8.3887	19.2833	-2.3722
1961-02-28	4.38	1.528	6.7766	19.5944	1.9167
1961-03-01	0.1	1.552	3.9903	14.8833	2.2167
1961-03-02	0	1.576	3.1445	13.4056	-1.7222
1961-03-03	0	1.601	2.7067	17.3556	-3.1333
1961-03-04	0	1.626	2.4778	22.7556	4.3556
