Date P PET Q
1949-10-28 18.92 1.675 0.2674
1949-10-29 11.14 1.645 0.5194
1949-10-30 21.17 1.615 0.5993
1949-10-31 13.84 1.586 1.3969
1949-11-01 17.5 1.557 2.6586
1949-11-02 0.44 1.528 3.4269
1949-11-03 0.88 1.499 3.2733
1949-11-04 0.22 1.471 2.6586
1949-11-05 0.27 1.443 1.9517
1949-11-06 0 1.416 1.2263
1949-11-07 0.01 1.388 0.859
1949-11-08 0.01 1.361 0.7714
1949-11-09 0.01 1.335 0.7069
1949-11-10 0.01 1.309 0.6424
1949-11-11 0 1.283 0.6208
1949-11-12 2.14 1.258 0.5993
1949-11-13 7.68 1.233 0.5794
1949-11-14 0.02 1.209 0.7284
1949-11-15 0 1.185 0.859
1949-11-16 0.2 1.161 0.836
1949-11-17 0.8 1.138 0.7284
1949-11-18 0 1.115 0.6854
1949-11-19 0 1.093 0.6208
1949-11-20 0 1.071 0.5794
1949-11-21 0 1.049 0.5594
1949-11-22 0 1.028 0.5594
1949-11-23 0 1.008 0.5394
1949-11-24 0.22 0.988 0.5102
1949-11-25 2.58 0.968 0.4994
1949-11-26 0.04 0.949 0.5194
1949-11-27 0.04 0.931 0.5194
1949-11-28 0.69 0.913 0.5194
1949-11-29 2.36 0.895 0.5394
1949-11-30 0.05 0.878 0.5394
1949-12-01 0.08 0.862 0.5225
1949-12-02 0.05 0.846 0.4918
1949-12-03 0 0.83 0.4764
1949-12-04 0.03 0.815 0.461
1949-12-05 0 0.801 0.461
1949-12-06 0 0.787 0.461
1949-12-07 0.12 0.774 0.4702
1949-12-08 0 0.761 0.4487
1949-12-09 0.57 0.749 0.4395
1949-12-10 5.33 0.737 0.4303
1949-12-11 6.35 0.726 0.4702
1949-12-12 5.49 0.715 0.5394
1949-12-13 4.95 0.705 0.6208
1949-12-14 0.59 0.696 0.7284
1949-12-15 0 0.687 0.836
1949-12-16 0.12 0.679 0.8145
1949-12-17 0.9 0.671 0.7499
1949-12-18 8.39 0.664 0.6424
1949-12-19 1.33 0.657 0.6424
1949-12-20 0.05 0.651 0.7069
